"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"3M","MMM","2.91M","122.65B","39.94B","24.75","1.16"
"Abbott Labs","ABT","5.84M","110.92B","34.78B","59.91","1.5"
"AbbVie","ABBV","8.88M","159.37B","36.15B","16.14","1.59"
"Accenture","ACN","2.17M","104.29B","39.12B","27.49","0.96"
"Activision Blizzard","ATVI","6.45M","56.55B","8.98B","58","1.19"
"Acuity Brands","AYI","795.61K","5.00B","3.52B","16.62","1.34"
"Adobe","ADBE","2.70M","123.71B","7.70B","62.63","1.1"
"ADP","ADP","1.81M","59.62B","16.48B","34.67","0.93"
"Advance Auto Parts","AAP","1.12M","9.75B","12.25B","25.32","1.09"
"Aetna","AET","2.09M","59.14B","75.89B","16.69","0.63"
"Affiliated Managers","AMG","420.09K","8.96B","2.92B","18.41","1.53"
"Aflac","AFL","3.57M","35.53B","27.16B","13","0.95"
"Agilent Technologies","A","2.77M","21.20B","5.82B","27.82","1.28"
"AIG","AIG","6.35M","49.48B","61.55B","165.65","1.24"
"Air Products","APD","960.27K","36.94B","10.68B","26.6","1.21"
"Akamai","AKAM","2.36M","13.39B","3.17B","62.17","0.6"
"Alaska Air","ALK","2.28M","7.68B","9.77B","11.73","0.71"
"Albemarle","ALB","1.64M","10.56B","3.89B","19.38","1.62"
"Alexandria RE","ARE","632.94K","13.10B","1.45B","48.84","0.83"
"Alexion","ALXN","1.95M","26.33B","4.48B","43.74","1.11"
"Align","ALGN","1.16M","27.79B","1.91B","88.93","1.57"
"Allegion PLC","ALLE","830.65K","7.70B","3.02B","23.61","1.07"
"Allergan","AGN","2.88M","57.76B","19.61B","","1.18"
"Alliance Data Systems","ADS","677.49K","12.32B","9.60B","16.7","1.79"
"Alliant Energy","LNT","1.76M","9.08B","4.30B","18.95","0.29"
"Allstate","ALL","1.98M","32.94B","48.44B","11.99","0.93"
"Alphabet A","GOOGL","1.96M","782.59B","142.00B","30.04","1.07"
"Alphabet Inc C","GOOG","1.69M","782.59B","142.00B","30.04","1.07"
"Altria","MO","8.59M","109.22B","31.68B","15.02","0.65"
"Amazon.com","AMZN","5.17M","817.12B","228.91B","265.49","1.61"
"AMD","AMD","60.43M","14.78B","6.98B","","2.83"
"Ameren","AEE","1.57M","13.81B","7.76B","19.01","0.29"
"American Airlines","AAL","4.93M","20.18B","52.61B","7.74","0.96"
"American Electric Power","AEP","2.78M","31.58B","19.47B","18.08","0.14"
"American Express","AXP","3.44M","86.90B","60.76B","15.67","1.1"
"American Tower","AMT","2.30M","61.21B","8.41B","53.63","0.78"
"American Water Works","AWK","865.39K","14.49B","4.12B","25.13","0.16"
"Ameriprise Financial","AMP","1.08M","20.63B","15.26B","11.25","1.8"
"AmerisourceBergen","ABC","1.55M","18.92B","196.47B","72.66","1.04"
"Ametek","AME","1.32M","17.54B","5.47B","27.84","1.26"
"Amgen","AMGN","4.81M","121.95B","28.40B","15.94","1.37"
"Amphenol","APH","1.24M","27.40B","8.88B","26.11","0.85"
"Anadarko Petroleum","APC","4.90M","36.78B","14.00B","","1.3"
"Analog Devices","ADI","3.05M","37.48B","8.14B","89.58","1.25"
"Andeavor","ANDV","2.13M","21.86B","53.96B","31.35","1.25"
"ANSYS","ANSS","484.57K","14.47B","1.38B","47.52","1.04"
"Anthem Inc","ANTM","1.50M","58.26B","112.62B","20","0.88"
"AO Smith","AOS","949.77K","11.10B","3.78B","29.46","1.47"
"Aon","AON","929.24K","34.96B","13.09B","33.1","1.02"
"Apache","APA","4.41M","16.14B","7.53B","12","1.11"
"Apartment Invest","AIV","1.03M","6.56B","1.25B","616.13","0.42"
"Apple","AAPL","36.01M","942.23B","300.31B","17.66","1.21"
"Applied Materials","AMAT","14.20M","53.74B","20.03B","12.83","1.6"
"Aptiv","APTV","1.39M","26.69B","25.12B","24.12","1.53"
"Archer-Daniels-Midland","ADM","4.00M","25.08B","76.35B","23.02","1.05"
"Arconic Inc","ARNC","4.47M","8.66B","16.41B","1050.35","1.13"
"Arthur J Gallagher","AJG","962.60K","12.35B","8.00B","17.47","1.13"
"Assurant","AIZ","661.21K","5.18B","8.05B","17.74","0.55"
"AT&T","T","28.86M","207.75B","198.58B","20.14","0.42"
"Autodesk","ADSK","2.41M","29.61B","2.62B","","1.69"
"AutoZone","AZO","390.70K","18.14B","13.79B","14.93","0.89"
"AvalonBay","AVB","708.35K","23.19B","2.72B","29.72","0.4"
"Avery Dennison","AVY","729.94K","9.51B","8.39B","21","1.27"
"Baker Hughes A","BHGE","4.43M","38.62B","24.92B","","0.73"
"Ball","BLL","2.53M","13.13B","13.77B","26.01","0.83"
"Bank of America","BAC","67.43M","304.28B","127.38B","15.36","1.32"
"Bank of NY Mellon","BK","4.86M","58.17B","21.26B","17.38","1.17"
"Baxter","BAX","3.07M","40.04B","13.24B","28.85","0.84"
"BB&T","BBT","3.91M","42.57B","15.26B","17.22","1.04"
"Becton Dickinson","BDX","1.17M","61.95B","16.47B","318.9","1.15"
"Berkshire Hathaway B","BRKb","4.10M","483.70B","300.61B","41.9","0.87"
"Best Buy","BBY","3.49M","20.38B","51.26B","16.61","0.86"
"Biogen Inc","BIIB","1.55M","64.00B","15.41B","15.52","0.8"
"BlackRock","BLK","536.69K","88.00B","16.07B","22.39","1.66"
"Boeing","BA","4.80M","215.26B","116.77B","27.29","1.41"
"Booking Holdings","BKNG","496.41K","102.93B","15.61B","27.34","1.22"
"BorgWarner","BWA","1.38M","10.51B","12.58B","14.08","1.85"
"Boston Properties","BXP","724.28K","18.93B","3.90B","35.71","0.59"
"Boston Scientific","BSX","7.05M","44.08B","11.43B","46.04","0.79"
"Brighthouse Financial","BHF","875.37K","5.59B","8.66B","",""
"Bristol-Myers Squibb","BMY","8.70M","86.89B","25.97B","22.89","0.93"
"Broadcom","AVGO","3.47M","105.96B","18.82B","58.72","0.9"
"Brown Forman","BFb","1.05M","25.18B","3.94B","36.78","0.84"
"CA","CA","2.56M","15.13B","5.25B","19.82","0.71"
"Cabot Oil&Gas","COG","5.95M","10.63B","2.24B","","0.4"
"Cadence Design","CDNS","2.59M","12.42B","2.46B","111.05","1.1"
"Campbell Soup","CPB","3.88M","10.24B","9.98B","28.39","0.32"
"Capital One Financial","COF","2.53M","47.17B","52.32B","11.33","1.33"
"Cardinal Health","CAH","3.25M","16.58B","166.25B","21.57","1.02"
"CarMax","KMX","1.78M","13.18B","17.12B","20.16","1.58"
"Carnival","CCL","3.81M","43.49B","83.42M","16.67","0.86"
"Caterpillar","CAT","4.85M","92.87B","58.32B","20.31","1.3"
"CBOE Holdings","CBOE","1.59M","11.69B","3.01B","38.03","0.68"
"CBRE A","CBRE","1.90M","16.51B","18.88B","19.39","1.74"
"CBS","CBS","3.94M","19.39B","17.45B","11.44","1.49"
"Celgene","CELG","7.66M","57.30B","19.50B","15.21","1.43"
"Centene","CNC","1.75M","21.68B","61.58B","23.48","0.77"
"CenterPoint Energy","CNP","5.30M","10.94B","12.77B","16.87","0.52"
"CenturyLink","CTL","10.99M","19.04B","23.60B","53.85","0.8"
"Cerner","CERN","2.36M","20.14B","6.44B","28.97","0.97"
"CF Industries","CF","2.67M","10.08B","5.09B","","1.06"
"CH Robinson","CHRW","1.54M","12.30B","18.79B","24.29","0.43"
"Charter Communications","CHTR","1.51M","65.93B","52.24B","89.5","1.24"
"Chesapeake Energy","CHK","38.85M","4.39B","11.99B","4.69","1.94"
"Chevron","CVX","6.70M","241.62B","170.56B","29.62","1.13"
"Chipotle Mexican Grill","CMG","897.37K","12.60B","5.62B","67.64","0.52"
"Chubb","CB","1.60M","62.19B","40.11B","15.16","1.03"
"Church&Dwight","CHD","2.26M","11.79B","4.78B","24.56","0.43"
"Cigna","CI","2.50M","43.26B","53.04B","16.04","0.62"
"Cimarex Energy","XEC","1.44M","8.17B","2.93B","16.71","1.13"
"Cincinnati Financial","CINF","584.85K","11.70B","6.96B","37.21","0.86"
"Cintas","CTAS","621.06K","20.43B","6.26B","29.96","0.89"
"Cisco","CSCO","26.89M","204.48B","60.56B","21.86","1.1"
"Citigroup","C","17.13M","174.59B","155.62B","11.89","1.48"
"Citizens Financial Group Inc","CFG","4.40M","20.35B","8.15B","15.19","1.36"
"Citrix Systems","CTXS","1.63M","14.63B","3.52B","30.93","1.27"
"Clorox","CLX","1.32M","16.42B","7.56B","22.98","0.39"
"CME Group","CME","1.61M","58.22B","4.75B","35.01","0.62"
"CMS Energy","CMS","2.77M","12.25B","8.54B","18.78","0.05"
"Coca-Cola","KO","12.10M","187.02B","43.04B","37.91","0.75"
"Cognizant","CTSH","3.75M","45.18B","18.72B","21.85","1.03"
"Colgate-Palmolive","CL","4.42M","55.25B","815.39M","23.72","0.75"
"Comcast","CMCSA","25.15M","147.62B","107.32B","14.58","1.23"
"Comerica","CMA","1.51M","16.59B","4.12B","18.41","1.38"
"ConAgra Foods","CAG","2.76M","14.85B","7.83B","24.41","0.31"
"Concho Resources","CXO","2.23M","19.12B","3.53B","25.9","0.95"
"ConocoPhillips","COP","7.75M","81.24B","38.26B","","1.17"
"Consolidated Edison","ED","1.77M","22.61B","15.40B","3.3","0.05"
"Constellation Brands A","STZ","1.46M","43.49B","7.59B","26.03","0.04"
"Cooper","COO","436.80K","11.38B","2.23B","34.57","0.64"
"Corning","GLW","6.18M","23.87B","12.62B","","1.31"
"Costco","COST","2.66M","89.41B","168.33B","31.23","0.96"
"Coty Inc","COTY","5.65M","10.42B","11.37B","","0.32"
"Crown Castle","CCI","2.73M","42.74B","5.65B","109.25","0.34"
"CSX","CSX","8.27M","58.71B","14.28B","26.34","1.18"
"Cummins","CMI","1.61M","23.67B","","13.41","1.13"
"CVS Health Corp","CVS","8.51M","67.13B","230.46B","13.09","1.01"
"Danaher","DHR","2.17M","71.95B","23.03B","28.52","1.06"
"Darden Restaurants","DRI","1.59M","11.32B","7.88B","24.24","0.18"
"DaVita","DVA","1.62M","12.40B","21.30B","32.47","1.12"
"Deere&Company","DE","2.81M","50.87B","47.37B","19.52","0.84"
"Delta Air Lines","DAL","6.92M","37.94B","51.21B","10.6","1.09"
"Dentsply","XRAY","2.15M","9.77B","4.95B","","1.22"
"Devon Energy","DVN","7.88M","22.07B","17.75B","107.63","2.18"
"Digital","DLR","1.09M","22.57B","3.20B","108.57","0.05"
"Discover","DFS","2.10M","26.31B","14.59B","11.32","1.46"
"Discovery A","DISCA","5.86M","11.60B","9.18B","","1.55"
"Discovery Communications C","DISCK","4.79M","11.60B","9.18B","","1.55"
"DISH Network","DISH","2.37M","14.99B","17.85B","18.81","1.2"
"Dollar General","DG","2.99M","25.49B","29.59B","19.6","0.98"
"Dollar Tree","DLTR","2.83M","19.65B","27.80B","17.68","0.81"
"Dominion Resources","D","4.72M","40.85B","16.05B","19.91","0.26"
"Dover","DOV","1.79M","12.21B","9.75B","17.32","1.3"
"DR Horton","DHI","4.08M","16.68B","18.31B","13.49","1.06"
"Dr Pepper Snapple","DPS","1.24M","21.72B","8.28B","28.8","0.77"
"DTE Energy","DTE","1.17M","17.60B","16.36B","14.51","0.17"
"Duke","DRE","2.33M","10.25B","1.02B","35.55","0.71"
"Duke Energy","DUK","3.54M","51.26B","29.70B","17.92","0.11"
"DuPont","DWDP","9.06M","161.27B","104.46B","116.63",""
"DXC Technology","DXC","2.04M","24.36B","26.45B","13.65","0.91"
"E-TRADE","ETFC","2.67M","17.26B","3.18B","23.7","1.3"
"Eastman Chemical","EMN","1.08M","15.57B","12.16B","15.01","1.23"
"Eaton","ETN","2.95M","35.14B","35.64B","12","1.37"
"eBay","EBAY","10.27M","40.05B","12.15B","28.95","1.25"
"Ecolab","ECL","1.29M","42.18B","17.31B","31.71","1"
"Edison","EIX","2.30M","19.42B","14.88B","22.06","0.17"
"Edwards Lifesciences","EW","1.37M","30.10B","4.33B","36.11","0.65"
"Electronic Arts","EA","3.84M","42.30B","6.68B","33.72","0.76"
"Eli Lilly","LLY","4.06M","93.43B","28.57B","29.83","0.24"
"Emerson","EMR","3.16M","46.09B","23.33B","27","1.18"
"Entergy","ETR","1.34M","13.90B","22.28B","13.56","0.44"
"Envision Healthcare","EVHC","2.67M","5.29B","9.90B","","0.45"
"EOG Resources","EOG","3.95M","68.11B","15.00B","68.7","1.05"
"EQT","EQT","2.68M","14.10B","4.81B","","0.72"
"Equifax","EFX","969.15K","15.37B","4.23B","32.58","0.96"
"Equinix","EQIX","705.19K","32.05B","5.58B","483.92","0.47"
"Equity Residential","EQR","2.47M","24.64B","3.10B","35.65","0.41"
"Essex Property","ESS","383.23K","15.92B","1.71B","46.32","0.41"
"Estee Lauder","EL","1.94M","56.18B","16.14B","38.93","0.62"
"Everest","RE","290.59K","9.44B","9.85B","24.63","0.47"
"Eversource Energy","ES","2.00M","16.97B","10.04B","17.06","0.3"
"Exelon","EXC","5.98M","38.62B","43.22B","11.5","0.17"
"Expedia","EXPE","2.45M","18.15B","12.57B","61.85","1.08"
"Expeditors Washington","EXPD","1.21M","13.37B","8.78B","28.01","0.69"
"Express Scripts","ESRX","5.09M","44.03B","124.83B","7.5","0.97"
"Extra Space Storage","EXR","934.99K","12.36B","1.39B","26.31","0.24"
"Exxon Mobil","XOM","14.18M","353.95B","321.06B","24.78","0.93"
"F5 Networks","FFIV","781.94K","10.81B","2.63B","24.18","0.98"
"Facebook","FB","22.07M","547.37B","52.62B","27.75","0.84"
"Fastenal","FAST","2.59M","15.19B","5.58B","25.53","0.93"
"Federal Realty","FRT","420.28K","8.85B","1.08B","41.95","0.28"
"FedEx","FDX","1.60M","69.52B","63.86B","21.34","1.41"
"Fidelity National Info","FIS","1.65M","35.13B","11.19B","61.38","0.9"
"Fifth Third","FITB","5.27M","21.81B","9.83B","10.12","1.29"
"FirstEnergy","FE","4.83M","15.89B","16.99B","","0.25"
"Fiserv","FISV","1.15M","30.90B","7.14B","28.37","0.83"
"FLIR Systems","FLIR","999.52K","7.56B","2.24B","38.75","0.74"
"Flowserve","FLS","1.43M","5.52B","4.58B","48.54","1.43"
"Fluor","FLR","1.63M","7.08B","24.34B","37.57","1.4"
"FMC","FMC","1.38M","11.92B","4.09B","26.99","1.64"
"Foot Locker","FL","3.33M","6.96B","9.81B","19.67","0.95"
"Ford Motor","F","39.32M","47.36B","198.74B","6.58","1.03"
"Fortive","FTV","1.54M","27.26B","8.40B","26.67",""
"Fortune Brands","FBHS","1.70M","8.54B","6.54B","20.05","1.35"
"Fox Inc","FOX","3.22M","73.73B","36.77B","50.49","1.36"
"Franklin Resources","BEN","3.45M","18.59B","8.06B","10.9","1.56"
"Freeport-McMoran","FCX","16.66M","26.12B","24.61B","14.06","2.47"
"Gap","GPS","5.29M","12.30B","19.64B","13.85","0.87"
"Garmin Ltd","GRMN","1.26M","12.25B","3.80B","19.91","1.04"
"Gartner","IT","750.90K","12.57B","4.28B","","1.17"
"General Dynamics","GD","1.53M","60.17B","38.51B","19.93","0.83"
"General Electric","GE","69.64M","120.99B","150.76B","","1.02"
"General Mills","GIS","6.16M","25.44B","15.66B","14.91","0.79"
"General Motors","GM","11.48M","62.36B","181.69B","10.64","1.66"
"Genuine Parts","GPC","949.09K","13.88B","20.90B","20.38","1.21"
"GGP","GGP","6.37M","19.81B","4.02B","33.41","0.89"
"Gilead","GILD","8.65M","93.50B","31.20B","10.57","1.16"
"Global Payments","GPN","985.75K","18.68B","4.77B","52.26","1.11"
"Goldman Sachs","GS","3.13M","88.16B","55.92B","10.75","1.31"
"H&R Block","HRB","2.54M","6.10B","3.09B","24.08","0.29"
"Halliburton","HAL","8.14M","42.13B","26.36B","103.99","1.04"
"Hanesbrands","HBI","6.52M","7.24B","7.94B","13.97","0.77"
"Harley-Davidson","HOG","2.11M","7.10B","7.19B","13.03","0.9"
"Harris","HRS","773.60K","18.36B","7.55B","28.21","1.23"
"Hartford","HIG","2.02M","19.07B","23.36B","25.87","0.93"
"Hasbro","HAS","1.65M","11.29B","5.93B","13.84","0.87"
"HCA","HCA","1.93M","36.81B","55.04B","12.83","0.47"
"HCP","HCP","3.59M","11.43B","2.82B","1002.47","0.27"
"Helmerich&Payne","HP","1.39M","7.12B","2.58B","","1.31"
"Henry Schein","HSIC","1.90M","11.11B","15.68B","20.58","1.02"
"Hershey","HSY","1.28M","19.20B","11.46B","20.04","0.34"
"Hess","HES","3.97M","18.56B","6.94B","","1.48"
"Hewlett Packard","HPE","12.48M","24.87B","36.46B","25.53",""
"Hilton Worldwide","HLT","3.96M","25.28B","11.21B","40.06","1.32"
"Hologic","HOLX","2.48M","10.47B","3.90B","","0.83"
"Home Depot","HD","4.77M","228.62B","125.85B","24.68","1.14"
"Honeywell","HON","2.67M","113.43B","50.93B","34.1","0.97"
"Hormel Foods","HRL","2.65M","19.17B","11.55B","22.31","0.41"
"Host Hotels Resorts","HST","6.13M","16.38B","6.73B","24.56","1.3"
"HP Inc","HPQ","9.31M","38.92B","67.89B","18.57","1.66"
"Humana","HUM","801.63K","41.01B","68.05B","21.81","0.93"
"Huntington Bancshares","HBAN","10.45M","17.29B","5.97B","16.09","1.35"
"IBM","IBM","4.71M","134.15B","98.21B","12.3","0.88"
"ICE","ICE","2.62M","43.82B","5.85B","26.11","0.66"
"IDEXX Labs","IDXX","557.16K","19.09B","2.51B","62.37","0.68"
"IFF","IFF","694.57K","9.98B","4.33B","22.32","1.07"
"IHS Markit Ltd","INFO","2.04M","20.45B","3.69B","46.38","0.78"
"Illinois Tool Works","ITW","1.56M","50.06B","18.06B","20.69","1.24"
"Illumina Inc","ILMN","897.79K","41.46B","3.53B","58.14","0.89"
"Incyte","INCY","1.70M","14.84B","1.92B","","0.71"
"Ingersoll-Rand","IR","1.64M","22.49B","28.16B","17.67","1.36"
"Intel","INTC","36.06M","256.53B","78.83B","15.94","0.94"
"International Paper","IP","2.86M","24.35B","38.65B","23.29","1.54"
"Intuit","INTU","1.38M","52.83B","8.36B","43.93","1.18"
"Intuitive Surgical","ISRG","830.96K","54.90B","3.98B","51.13","0.59"
"Invesco","IVZ","3.46M","11.47B","6.52B","11.05","1.65"
"IPG","IPG","4.21M","8.91B","10.05B","18.05","1.3"
"IPG Photonics","IPGP","651.47K","13.37B","1.77B","31.96","1.92"
"Iron Mountain","IRM","1.59M","9.90B","4.89B","54.53","0.74"
"J&J","JNJ","6.70M","332.75B","96.46B","22.88","0.75"
"Jacobs Engineering","JEC","1.22M","9.44B","14.16B","31.69","1.48"
"JB Hunt","JBHT","999.78K","14.12B","9.14B","19.88","0.94"
"Jefferies Financial","JEF","2.84M","7.95B","18.41B","18.21","1.2"
"JM Smucker","SJM","1.23M","11.65B","7.36B","","0.6"
"Johnson Controls","JCI","4.99M","32.55B","38.00B","14.31","0.86"
