"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"3D Systems","DDD","2.54M","1.46B","655.53M","","1.38"
"Aarons","AAN","657.02K","3.24B","3.61B","21.06","-0.03"
"ABIOMED","ABMD","379.08K","16.92B","641.29M","93.25","-0.13"
"ACI Worldwide","ACIW","660.97K","3.14B","996.44M","85.1","1.26"
"Acxiom","ACXM","520.07K","3.13B","917.40M","","1.38"
"Adtalem Education","ATGE","378.33K","3.32B","1.46B","22.17","1.06"
"Aecom Technology","ACM","826.07K","5.39B","19.12B","38.81","1.6"
"AGCO","AGCO","717.59K","4.98B","9.06B","19.13","0.76"
"Akorn","AKRX","2.18M","2.33B","763.49M","","2.03"
"Alexander&Baldwin","ALEX","388.71K","1.74B","459.60M","5.7","1.18"
"Alexandria RE","ARE","684.10K","13.48B","1.23B","46.36","0.75"
"Align","ALGN","1.16M","29.14B","1.73B","87.61","1.53"
"Alleghany","Y","64.76K","9.83B","6.69B","31.91","0.91"
"Allegheny Technologies","ATI","1.70M","3.43B","3.77B","","2.57"
"Allscripts","MDRX","2.15M","2.46B","1.91B","","1.05"
"AMC Networks","AMCX","727.70K","3.48B","2.88B","8.41","0.72"
"AMD","AMD","60.43M","17.92B","6.53B","","3.03"
"American Campus","ACC","916.16K","5.64B","823.92M","48.36","0.13"
"American Eagle Outfitters","AEO","4.43M","4.51B","3.86B","22.69","0.77"
"American Financial","AFG","335.49K","10.03B","7.13B","16.57","0.78"
"ANSYS","ANSS","484.57K","14.56B","1.12B","47.81","1.02"
"AO Smith","AOS","1.28M","10.05B","3.14B","25.15","1.45"
"AptarGroup","ATR","288.29K","6.49B","2.66B","27.7","0.82"
"Aqua America","WTR","521.51K","6.57B","824.53M","26.3","0.33"
"Arris","ARRS","1.70M","4.42B","6.77B","44.54","1.26"
"Arrow Electronics","ARW","436.25K","6.72B","28.86B","10.98","1.11"
"Ascena Retail","ASNA","2.11M","788.78M","6.47B","","1.57"
"Ashland Global","ASH","570.83K","5.30B","3.67B","109.57","1.2"
"Aspen Insurance Holdings","AHL","556.36K","2.26B","2.53B","","0.36"
"Associated Banc-Corp","ASB","1.23M","4.68B","735.95M","15.99","0.91"
"Atmos Energy","ATO","442.22K","10.20B","3.10B","23.33","0.1"
"Avanos Medical","AVNS","329.18K","2.69B","1.57B","","1.58"
"Avis","CAR","2.41M","2.89B","8.98B","18.1","1.98"
"Avnet","AVT","755.59K","5.17B","18.58B","","0.93"
"Avon Products","AVP","6.19M","790.61M","5.73B","58.88","1.22"
"Bancorpsouth Bank","BXS","592.05K","3.36B","462.87M","17.11","1.4"
"Bank of Hawaii","BOH","230.04K","3.47B","353.07M","17.36","0.65"
"Bank Ozk","OZK","1.20M","5.21B","587.25M","10.06","1.21"
"Belden","BDC","541.65K","2.82B","2.50B","51.35","2.28"
"Bemis","BMS","705.31K","4.69B","4.10B","116.37","0.85"
"Big Lots","BIG","1.53M","1.83B","5.24B","11.37","1.05"
"Bio-Rad Labs","BIO","142.11K","9.30B","2.21B","13.52","0.93"
"Bio-Techne","TECH","177.58K","6.25B","619.31M","77.62","0.79"
"Black Hills","BKH","451.21K","3.22B","1.72B","5.88","0.38"
"Boston Beer","SAM","147.67K","3.24B","916.93M","43.07","0.69"
"Brinker","EAT","1.18M","1.94B","3.13B","14.94",""
"Broadridge","BR","1.29M","13.56B","4.36B","32.51","0.83"
"Brown&Brown","BRO","866.94K","8.09B","1.92B","19.02","0.68"
"Brunswick","BC","912.91K","5.55B","4.79B","24.17","1.72"
"Cable One Inc","CABO","39.20K","4.15B","1.02B","32.44",""
"Cabot Corp","CBT","460.18K","4.13B","2.97B","896.19","1.35"
"Cadence Design","CDNS","2.59M","12.66B","2.02B","107.31","1.09"
"Camden Property","CPT","522.25K","8.97B","912.06M","44.81","0.3"
"Carlisle","CSL","438.23K","7.61B","4.38B","24.73","0.86"
"Carpenter Technology","CRS","293.82K","2.76B","2.05B","23.58","2.04"
"Carters","CRI","818.01K","4.95B","3.43B","19.81","0.49"
"Caseys","CASY","465.62K","4.05B","8.39B","29.29","0.53"
"Catalent Inc","CTLT","1.13M","5.55B","2.40B","47.09","1.44"
"Cathay","CATY","332.76K","3.40B","340.30M","14.45","1.28"
"CBOE Holdings","CBOE","1.59M","10.64B","2.68B","32.99","0.51"
"CDK Global Holdings LLC","CDK","1.21M","8.26B","2.27B","26.9","0.72"
"Charles River Laboratories","CRL","326.88K","6.12B","1.91B","29.65","0.67"
"Chemical","CHFC","334.34K","4.04B","419.96M","","1.07"
"Chicos FAS","CHS","2.80M","1.19B","2.26B","13.67","0.71"
"Churchill Downs","CHDN","137.51K","3.76B","1.77B","34.65","0.98"
"Ciena Corp","CIEN","2.84M","3.65B","2.85B","3.78","1.25"
"Cinemark","CNK","1.11M","4.14B","3.77B","20.58","0.98"
"Cirrus","CRUS","1.21M","2.53B","1.47B","15.63","0.4"
"Clean Harbors","CLH","381.29K","3.47B","3.10B","164.06","0.98"
"CNO Financial","CNO","1.05M","3.72B","4.23B","9.64","1.12"
"CNX Resources","CNX","2.38M","3.48B","1.72B","4.99","1.05"
"Cognex","CGNX","1.95M","9.15B","820.94M","33.15","1.67"
"Commerce Bancshares","CBSH","479.79K","7.31B","678.50M","19.98","0.63"
"Commercial Metals","CMC","1.02M","2.49B","4.30B","50.46","1.39"
"CommVault","CVLT","492.97K","3.00B","709.60M","","1.15"
"Compass Minerals","CMP","262.59K","2.32B","1.41B","28.91","0.71"
"Comscore","SCOR","122.51K","1.07B","408.61M","","0.34"
"Convergys","CVG","1.20M","2.23B","2.74B","16.38","0.87"
"Copart","CPRT","1.36M","13.34B","1.74B","35.49","0.9"
"CoreCivic","CXW","1.06M","3.01B","1.76B","17.66","1.07"
"CoreLogic","CLGX","449.87K","4.02B","1.87B","28.37","0.61"
"Corporate Office Properties","OFC","727.01K","3.08B","623.81M","45.2","0.65"
"Cousins Properties","CUZ","4.72M","3.95B","461.10M","49.05","0.88"
"Cracker Barrel Old","CBRL","328.96K","3.49B","2.96B","12.99","0.58"
"Crane","CR","286.65K","5.35B","3.06B","19.58","1.29"
"Cree","CREE","1.49M","4.93B","1.44B","","0.53"
"Cullen/Frost Bankers","CFR","388.46K","7.17B","677.79M","17.95","1.31"
"Curtiss-Wright","CW","385.72K","5.83B","2.35B","22.07","1.26"
"Cypress","CY","6.04M","6.39B","2.41B","","2.03"
"Dana","DAN","1.62M","3.06B","7.86B","8.15","1.76"
"DCT Industrial","DCT","683.75K","6.41B","433.93M","52.68","0.77"
"Dean Foods","DF","1.18M","886.05M","7.78B","67.87","0.38"
"Deckers Outdoor","DECK","693.60K","3.51B","1.94B","18.87","1.07"
"Deluxe","DLX","348.86K","2.77B","1.97B","10.87","0.91"
"Denbury Resources","DNR","12.76M","1.94B","1.21B","39.32","3.34"
"Diamond Offshore Drilling","DO","1.64M","2.55B","1.28B","","1.15"
"Dick’s Sporting Goods","DKS","2.95M","3.44B","8.67B","10.86","0.41"
"Diebold","DBD","1.92M","531.71M","4.54B","","2.01"
"Domino’s Pizza","DPZ","614.80K","11.70B","606.54M","39.34","0.21"
"Domtar Corporation","UFS","631.80K","3.14B","5.33B","","1.67"
"Donaldson","DCI","382.16K","6.17B","2.67B","41.75","1.22"
"Douglas Emmett","DEI","882.69K","6.71B","1.02B","","0.62"
"Dril-Quip","DRQ","473.84K","1.91B","402.35M","","0.96"
"Duke","DRE","2.26M","10.49B","855.57M","28.63","0.58"
"Dunkin Brands","DNKN","1.11M","5.85B","1.10B","29.02","0.34"
"DXC Technology","DXC","2.33M","24.53B","24.56B","14.12","0.93"
"Dycom Industries","DY","567.13K","2.75B","2.92B","28.78","1.28"
"Eagle Materials","EXP","487.86K","4.76B","1.41B","23.39","1.11"
"East West Bancorp","EWBC","876.84K","9.43B","894.89M","15.79","1.36"
"Eaton Vance","EV","557.27K","6.26B","1.64B","18.17","1.63"
"Edgewell Personal Care","EPC","813.33K","2.98B","2.28B","","0.85"
"Education RT","EDR","1.86M","3.14B","336.00M","65.58","0.4"
"EMCOR","EME","280.67K","4.43B","7.75B","21.84","0.92"
"Energen","EGN","1.26M","7.24B","1.08B","50.16","1.42"
"Energizer","ENR","648.27K","3.88B","1.81B","31.6",""
"Enersys","ENS","196.63K","3.37B","2.58B","16.91","1.56"
"Ensco PLC","ESV","14.71M","3.20B","1.79B","","1.98"
"EPR Properties","EPR","509.00K","5.12B","656.94M","23.09","0.48"
"Esterline","ESL","195.28K","2.52B","2.03B","25.96","1.24"
