"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"3D Systems","DDD","12.85","13.26","12.62","-0.38","-2.87%","2.09M","03/08"
"Aarons","AAN","46.00","46.16","45.21","+0.21","+0.46%","707.53K","03/08"
"ABIOMED","ABMD","377.11","396.97","371.39","+4.91","+1.32%","1.02M","03/08"
"ACI Worldwide","ACIW","27.00","27.01","25.53","+0.45","+1.69%","566.53K","03/08"
"Acxiom","ACXM","40.63","40.99","40.27","+0.20","+0.49%","1.31M","03/08"
"Adtalem Education","ATGE","55.20","55.85","54.90","-0.30","-0.54%","172.11K","03/08"
"Aecom Technology","ACM","33.64","34.21","33.53","+0.07","+0.21%","428.47K","03/08"
"AGCO","AGCO","62.55","62.64","61.36","+1.11","+1.81%","694.19K","03/08"
"Akorn","AKRX","18.60","18.64","17.98","+0.36","+1.97%","1.28M","03/08"
"Alexander&Baldwin","ALEX","24.17","24.33","23.19","+0.32","+1.34%","617.70K","03/08"
"Alexandria RE","ARE","127.46","127.48","125.46","+1.41","+1.12%","429.13K","03/08"
"Align","ALGN","363.51","369.49","356.13","-4.41","-1.20%","713.03K","03/08"
"Alleghany","Y","642.98","643.35","622.97","+13.32","+2.12%","48.93K","03/08"
"Allegheny Technologies","ATI","27.28","27.95","27.04","-0.47","-1.69%","921.94K","03/08"
"Allscripts","MDRX","13.85","14.02","13.40","+1.26","+10.01%","5.59M","03/08"
"AMC Networks","AMCX","60.57","60.99","58.57","+2.09","+3.57%","1.08M","03/08"
"AMD","AMD","18.490","19.057","18.370","-0.300","-1.60%","53.23M","03/08"
"American Campus","ACC","41.28","41.28","40.74","+0.41","+1.00%","515.96K","03/08"
"American Eagle Outfitters","AEO","25.55","25.82","25.18","+0.27","+1.07%","2.80M","03/08"
"American Financial","AFG","112.78","113.62","112.12","-0.86","-0.76%","223.19K","03/08"
"ANSYS","ANSS","173.27","173.51","170.41","+0.12","+0.07%","401.40K","03/08"
"AO Smith","AOS","58.75","59.12","58.12","-0.01","-0.02%","985.74K","03/08"
"AptarGroup","ATR","104.10","104.50","102.85","+1.12","+1.09%","300.43K","03/08"
"Aqua America","WTR","36.93","37.12","36.53","+0.23","+0.63%","601.61K","03/08"
"Arris","ARRS","23.74","24.24","23.25","+0.34","+1.43%","2.20M","03/08"
"Arrow Electronics","ARW","76.68","78.39","75.87","-0.90","-1.16%","558.82K","03/08"
"Ascena Retail","ASNA","4.02","4.07","3.87","+0.13","+3.34%","1.40M","03/08"
"Ashland Global","ASH","84.94","85.63","84.28","+0.05","+0.06%","331.92K","03/08"
"Aspen Insurance Holdings","AHL","37.95","38.40","37.05","-0.50","-1.30%","935.77K","03/08"
"Associated Banc-Corp","ASB","27.20","27.43","27.05","-0.10","-0.37%","1.07M","03/08"
"Atmos Energy","ATO","91.83","92.23","91.00","+0.24","+0.26%","154.89K","03/08"
"Avanos Medical","AVNS","57.15","57.35","56.62","+0.21","+0.37%","315.19K","03/08"
"Avis","CAR","35.52","35.66","34.49","+1.15","+3.35%","2.45M","03/08"
"Avnet","AVT","43.86","44.19","43.45","-0.18","-0.41%","655.25K","03/08"
"Avon Products","AVP","1.790","1.810","1.670","+0.070","+4.07%","8.24M","03/08"
"Bancorpsouth Bank","BXS","33.20","33.80","33.10","-0.40","-1.19%","305.61K","03/08"
"Bank of Hawaii","BOH","82.49","82.75","81.82","+0.54","+0.66%","365.70K","03/08"
"Bank Ozk","OZK","40.66","41.55","40.42","-0.81","-1.95%","613.52K","03/08"
"Belden","BDC","69.47","71.16","68.59","-1.05","-1.49%","564.40K","03/08"
"Bemis","BMS","51.53","53.00","46.14","+5.22","+11.27%","6.34M","03/08"
"Big Lots","BIG","45.47","46.15","45.21","+0.28","+0.62%","1.56M","03/08"
"Bio-Rad Labs","BIO","312.18","313.89","308.10","+0.46","+0.15%","83.15K","03/08"
"Bio-Techne","TECH","166.34","167.92","164.64","+0.11","+0.07%","83.45K","03/08"
"Black Hills","BKH","60.03","60.38","59.64","-0.07","-0.12%","319.64K","03/08"
"Boston Beer","SAM","275.60","276.15","264.00","+10.35","+3.90%","143.34K","03/08"
"Brinker","EAT","44.32","45.86","43.95","-1.11","-2.44%","971.40K","03/08"
"Broadridge","BR","114.99","115.03","113.55","+0.48","+0.42%","484.84K","03/08"
"Brown&Brown","BRO","29.29","29.31","29.04","+0.10","+0.34%","398.39K","03/08"
"Brunswick","BC","63.62","64.51","63.40","+0.21","+0.33%","357.13K","03/08"
"Cable One Inc","CABO","724.80","725.00","713.46","+11.89","+1.67%","34.10K","03/08"
"Cabot Corp","CBT","66.82","67.09","65.60","+1.08","+1.64%","301.23K","03/08"
"Cadence Design","CDNS","44.77","44.96","44.38","+0.07","+0.16%","777.04K","03/08"
"Camden Property","CPT","93.85","93.93","90.75","+1.37","+1.48%","535.39K","03/08"
"Carlisle","CSL","124.91","125.35","123.11","+1.20","+0.97%","391.18K","03/08"
"Carpenter Technology","CRS","58.73","59.53","58.18","+0.42","+0.72%","366.94K","03/08"
"Carters","CRI","106.62","108.18","105.52","+0.35","+0.33%","1.00M","03/08"
"Caseys","CASY","110.69","111.40","110.26","+0.28","+0.25%","238.39K","03/08"
"Catalent Inc","CTLT","41.65","42.78","41.56","-0.87","-2.05%","858.27K","03/08"
"Cathay","CATY","41.88","42.64","41.86","-0.53","-1.25%","375.37K","03/08"
"CBOE Holdings","CBOE","94.63","97.00","92.64","-1.17","-1.22%","1.49M","03/08"
"CDK Global Holdings LLC","CDK","62.73","62.83","62.27","+0.53","+0.85%","578.25K","03/08"
"Charles River Laboratories","CRL","127.73","127.89","126.19","+0.84","+0.66%","360.97K","03/08"
"Chemical","CHFC","56.59","57.97","56.48","-0.78","-1.36%","179.10K","03/08"
"Chicos FAS","CHS","9.18","9.19","8.81","+0.42","+4.79%","2.68M","03/08"
"Churchill Downs","CHDN","277.85","284.10","276.18","-1.25","-0.45%","74.80K","03/08"
"Ciena Corp","CIEN","25.53","25.72","25.43","+0.10","+0.39%","1.08M","03/08"
"Cinemark","CNK","35.48","35.61","34.94","+0.44","+1.26%","683.98K","03/08"
"Cirrus","CRUS","41.45","41.68","40.15","+1.30","+3.24%","1.69M","03/08"
"Clean Harbors","CLH","61.79","63.01","61.44","-0.69","-1.10%","709.87K","03/08"
"CNO Financial","CNO","22.21","22.44","22.14","-0.05","-0.22%","1.04M","03/08"
"CNX Resources","CNX","15.95","16.05","15.67","+0.20","+1.27%","3.30M","03/08"
"Cognex","CGNX","52.88","52.94","51.18","+1.05","+2.03%","1.39M","03/08"
"Commerce Bancshares","CBSH","68.39","69.09","68.25","-0.31","-0.45%","317.31K","03/08"
"Commercial Metals","CMC","21.26","21.68","21.20","-0.40","-1.85%","549.77K","03/08"
"CommVault","CVLT","65.65","67.85","64.95","-1.15","-1.72%","408.66K","03/08"
"Compass Minerals","CMP","68.45","68.85","66.52","+1.85","+2.78%","273.75K","03/08"
"Comscore","SCOR","19.49","19.71","19.40","-0.19","-0.97%","45.28K","03/08"
"Convergys","CVG","24.42","24.52","24.35","-0.08","-0.33%","833.25K","03/08"
"Copart","CPRT","57.43","57.83","56.72","-0.37","-0.64%","754.28K","03/08"
"CoreCivic","CXW","25.40","25.99","25.36","-0.36","-1.40%","430.68K","03/08"
"CoreLogic","CLGX","49.26","49.78","48.98","-0.27","-0.55%","208.49K","03/08"
"Corporate Office Properties","OFC","30.13","30.14","29.71","+0.37","+1.24%","583.30K","03/08"
"Cousins Properties","CUZ","9.39","9.42","9.34","+0.03","+0.32%","1.83M","03/08"
"Cracker Barrel Old","CBRL","145.58","147.49","145.11","-0.11","-0.08%","192.14K","03/08"
"Crane","CR","89.57","89.94","88.88","+0.49","+0.55%","228.69K","03/08"
"Cree","CREE","49.05","49.62","47.91","+1.36","+2.85%","1.08M","03/08"
"Cullen/Frost Bankers","CFR","112.44","114.60","111.98","-1.84","-1.61%","299.82K","03/08"
"Curtiss-Wright","CW","131.87","132.60","130.14","+0.03","+0.02%","231.03K","03/08"
"Cypress","CY","17.67","17.86","17.56","-0.13","-0.73%","3.89M","03/08"
"Dana","DAN","21.06","21.53","20.87","0.00","0.00%","874.22K","03/08"
"DCT Industrial","DCT","68.05","68.05","66.90","+0.97","+1.45%","696.90K","03/08"
"Dean Foods","DF","9.70","9.96","9.67","+0.11","+1.15%","1.12M","03/08"
"Deckers Outdoor","DECK","115.17","119.18","114.76","-1.95","-1.67%","603.80K","03/08"
"Deluxe","DLX","58.16","58.32","57.74","+0.26","+0.45%","478.28K","03/08"
"Denbury Resources","DNR","4.41","4.58","4.39","-0.09","-2.00%","6.95M","03/08"
"Diamond Offshore Drilling","DO","18.59","19.17","18.46","+0.08","+0.43%","886.82K","03/08"
"Dick’s Sporting Goods","DKS","33.53","34.22","33.05","-0.04","-0.12%","1.82M","03/08"
"Diebold","DBD","7.00","7.10","6.45","+0.30","+4.48%","4.90M","03/08"
"Domino’s Pizza","DPZ","279.50","279.87","273.91","+2.75","+0.99%","613.82K","03/08"
"Domtar Corporation","UFS","49.950","49.960","48.581","+1.380","+2.84%","580.65K","03/08"
"Donaldson","DCI","47.87","48.02","47.49","+0.33","+0.69%","316.29K","03/08"
"Douglas Emmett","DEI","39.47","39.47","39.10","+0.23","+0.59%","1.12M","03/08"
"Dril-Quip","DRQ","50.10","51.70","49.95","-1.00","-1.96%","407.66K","03/08"
"Duke","DRE","29.39","29.39","29.12","+0.21","+0.72%","1.91M","03/08"
