"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"3M","MMM","0.86%","-0.06%","5.04%","-11.93%","-0.17%","37.27%"
"Abbott Labs","ABT","1.01%","-0.05%","6.36%","14.30%","32.42%","29.22%"
"AbbVie","ABBV","1.48%","6.59%","2.17%","-0.19%","35.98%","37.31%"
"Accenture","ACN","0.14%","-1.02%","-2.69%","4.76%","23.17%","53.46%"
"Activision Blizzard","ATVI","-3.70%","-5.36%","-6.39%","12.63%","15.01%","148.42%"
"Acuity Brands","AYI","0.52%","1.59%","8.23%","-22.45%","-31.72%","-34.06%"
"Adobe","ADBE","0.42%","-0.60%","3.73%","44.53%","71.47%","203.77%"
"ADP","ADP","0.83%","-2.30%","0.40%","14.56%","20.52%","64.04%"
"Advance Auto Parts","AAP","0.99%","3.45%","6.49%","45.13%","30.33%","-17.45%"
"Aetna","AET","0.90%","-0.46%","2.02%","4.62%","20.37%","59.85%"
"Affiliated Managers","AMG","-2.31%","0.67%","2.73%","-25.91%","-15.82%","-28.30%"
"Aflac","AFL","0.50%","0.60%","8.25%","6.15%","14.81%","-27.32%"
"Agilent Technologies","A","0.67%","-0.03%","6.36%","-1.85%","9.31%","61.42%"
"AIG","AIG","-2.74%","-1.31%","-0.50%","-9.95%","-17.56%","-14.79%"
"Air Products","APD","-0.02%","-0.79%","2.68%","-2.51%","8.65%","8.48%"
"Akamai","AKAM","0.44%","-6.32%","0.36%","14.71%","55.86%","-1.87%"
"Alaska Air","ALK","1.95%","-1.34%","1.06%","-14.57%","-26.87%","-20.54%"
"Albemarle","ALB","0.64%","-0.70%","-2.29%","-27.59%","-22.57%","73.88%"
"Alexandria RE","ARE","1.12%","4.01%","-0.15%","-2.40%","5.68%","37.72%"
"Alexion","ALXN","-1.86%","-6.19%","-3.44%","3.41%","-9.49%","-37.52%"
"Align","ALGN","-1.20%","2.75%","6.48%","63.60%","114.71%","485.65%"
"Allegion PLC","ALLE","0.64%","0.15%","4.93%","2.71%","0.49%","29.96%"
"Allergan","AGN","0.90%","4.09%","7.97%","13.66%","-23.38%","-44.77%"
"Alliance Data Systems","ADS","1.11%","0.11%","-4.38%","-10.21%","-4.88%","-17.41%"
"Alliant Energy","LNT","0.68%","-0.42%","-1.50%","0.35%","4.06%","40.01%"
"Allstate","ALL","0.52%","3.60%","6.65%","-6.36%","4.06%","56.88%"
"Alphabet A","GOOGL","-0.24%","-1.18%","8.49%","17.54%","30.91%","83.90%"
"Alphabet C","GOOG","-0.20%","-1.19%","8.84%","16.94%","31.87%","90.08%"
"Altria","MO","1.53%","3.16%","3.64%","-16.36%","-8.84%","7.68%"
"Amazon.com","AMZN","-0.60%","0.33%","7.27%","55.91%","84.62%","239.53%"
"AMD","AMD","-1.60%","-2.38%","19.29%","79.86%","40.93%","756.02%"
"Ameren","AEE","1.10%","0.82%","1.46%","5.87%","8.61%","50.99%"
"American Airlines","AAL","1.29%","-3.20%","1.13%","-26.16%","-24.37%","-10.57%"
"American Electric Power","AEP","0.98%","0.06%","0.07%","-3.25%","0.42%","25.65%"
"American Express","AXP","1.06%","-2.95%","2.29%","1.49%","17.24%","33.34%"
"American Tower","AMT","1.88%","4.58%","3.65%","5.83%","9.76%","56.24%"
"American Water Works","AWK","0.58%","-0.35%","0.55%","-3.76%","8.60%","70.64%"
"Ameriprise Financial","AMP","1.10%","-5.30%","-0.08%","-16.88%","-4.72%","12.53%"
"AmerisourceBergen","ABC","2.52%","-2.35%","-7.14%","-11.82%","0.17%","-24.50%"
"Ametek","AME","-0.25%","-0.36%","6.38%","5.66%","18.68%","41.19%"
"Amgen","AMGN","0.82%","2.88%","5.67%","13.85%","13.89%","12.21%"
"Amphenol","APH","0.02%","-0.11%","6.89%","6.90%","20.86%","67.34%"
"Anadarko Petroleum","APC","-2.02%","-5.72%","-5.95%","27.26%","52.06%","-7.77%"
"Analog Devices","ADI","0.38%","-0.43%","0.17%","8.46%","24.15%","59.08%"
"Andeavor","ANDV","-0.86%","-2.08%","11.60%","28.72%","50.29%","50.00%"
"ANSYS","ANSS","0.07%","-0.51%","-1.20%","17.40%","39.37%","84.29%"
"Anthem Inc","ANTM","0.55%","3.40%","7.46%","14.64%","35.42%","66.47%"
"AO Smith","AOS","-0.02%","-0.64%","-2.00%","-4.13%","6.95%","62.97%"
"Aon","AON","1.22%","-0.96%","3.55%","6.81%","3.00%","41.24%"
"Apache","APA","1.67%","0.31%","-2.55%","6.94%","-0.15%","1.60%"
"Apartment Invest","AIV","2.36%","4.58%","3.62%","0.23%","-3.99%","12.30%"
"Apple","AAPL","0.29%","8.91%","12.18%","22.90%","32.99%","80.23%"
"Applied Materials","AMAT","1.52%","1.12%","7.48%","-4.46%","14.06%","186.79%"
"Aptiv","APTV","1.74%","5.17%","5.78%","16.06%","26.14%","27.05%"
