"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"3M","MMM","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Abbott Labs","ABT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AbbVie","ABBV","Strong Buy","Strong Buy","Neutral","Buy"
"Accenture","ACN","Neutral","Strong Sell","Buy","Strong Buy"
"Activision Blizzard","ATVI","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Acuity Brands","AYI","Strong Buy","Strong Buy","Buy","Strong Sell"
"Adobe","ADBE","Strong Buy","Neutral","Strong Buy","Strong Buy"
"ADP","ADP","Neutral","Sell","Strong Buy","Strong Buy"
"Advance Auto Parts","AAP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aetna","AET","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Affiliated Managers","AMG","Strong Sell","Sell","Strong Sell","Strong Sell"
"Aflac","AFL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilent Technologies","A","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AIG","AIG","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Air Products","APD","Strong Sell","Neutral","Neutral","Buy"
"Akamai","AKAM","Buy","Strong Sell","Buy","Strong Buy"
"Alaska Air","ALK","Strong Buy","Strong Buy","Sell","Strong Sell"
"Albemarle","ALB","Strong Buy","Sell","Strong Sell","Sell"
"Alexandria RE","ARE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Alexion","ALXN","Strong Sell","Strong Sell","Neutral","Buy"
"Align","ALGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allegion PLC","ALLE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allergan","AGN","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Alliance Data Systems","ADS","Strong Buy","Sell","Strong Sell","Neutral"
"Alliant Energy","LNT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Allstate","ALL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Alphabet A","GOOGL","Buy","Buy","Strong Buy","Strong Buy"
"Alphabet C","GOOG","Neutral","Buy","Strong Buy","Strong Buy"
"Altria","MO","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Amazon.com","AMZN","Buy","Strong Buy","Strong Buy","Strong Buy"
"AMD","AMD","Sell","Strong Buy","Strong Buy","Strong Buy"
"Ameren","AEE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Airlines","AAL","Neutral","Strong Sell","Strong Sell","Strong Sell"
"American Electric Power","AEP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Express","AXP","Strong Buy","Neutral","Strong Buy","Strong Buy"
"American Tower","AMT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Water Works","AWK","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
