"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","0.00%","-0.72%","-2.37%","46.10%","54.31%","149.39%"
"A Schulman","SHLM","0.00%","0.23%","-1.80%","17.32%","63.36%","19.69%"
"AAON","AAON","3.23%","4.50%","8.65%","4.36%","8.81%","74.41%"
"AAR","AIR","-0.85%","-2.19%","-1.76%","18.12%","25.98%","71.70%"
"Abercrombie&Fitch","ANF","3.10%","7.73%","-0.24%","43.09%","145.23%","28.29%"
"ABM Industries","ABM","0.00%","0.97%","3.66%","-17.50%","-30.47%","-6.38%"
"Acadia","AKR","1.14%","4.32%","-0.22%","0.51%","-7.56%","-12.59%"
"Aceto","ACET","1.26%","1.90%","-12.53%","-68.93%","-80.15%","-86.25%"
"Acorda","ACOR","0.96%","9.60%","-13.22%","22.38%","22.49%","-24.00%"
"Actuant","ATU","0.18%","1.97%","-2.56%","12.65%","16.80%","25.55%"
"ADTRAN","ADTN","-0.31%","-0.92%","5.21%","-16.54%","-28.06%","-0.06%"
"Advanced Energy","AEIS","0.73%","0.82%","0.37%","-10.36%","-12.73%","119.41%"
"AdvanSix","ASIX","-8.59%","-7.76%","-2.99%","-13.50%","9.18%","-"
"Aegion","AEGN","1.27%","0.69%","-5.30%","-2.95%","22.66%","31.21%"
"Aerojet Rocketdyne","AJRD","-0.70%","21.87%","15.93%","9.65%","25.68%","49.72%"
"AeroVironment","AVAV","-1.06%","4.06%","4.11%","33.58%","101.34%","185.90%"
"Agilysys","AGYS","-4.66%","-8.74%","-7.60%","19.87%","41.13%","48.84%"
"Agree","ADC","0.45%","3.56%","0.41%","5.11%","8.86%","77.16%"
"AK Steel","AKS","1.58%","-14.29%","0.22%","-20.49%","-17.58%","43.77%"
"Alamo","ALG","0.05%","2.97%","2.10%","-16.96%","1.27%","78.60%"
"Albany","AIN","-0.99%","-2.04%","4.77%","5.37%","24.16%","85.00%"
"Allegiant","ALGT","3.05%","0.20%","-11.99%","-19.16%","-4.83%","-44.81%"
"Allete","ALE","-0.29%","-1.79%","-4.62%","1.91%","2.43%","53.15%"
"AMAG","AMAG","3.02%","8.39%","19.50%","80.38%","18.91%","-65.54%"
"Amedisys","AMED","2.13%","15.48%","19.78%","105.41%","122.96%","132.24%"
"American Assets","AAT","1.97%","5.71%","0.03%","1.65%","-3.76%","-3.72%"
"American Axle&Manufacturing","AXL","6.18%","5.78%","3.53%","-0.06%","19.10%","-18.33%"
"American Equity Inv. Life","AEL","-0.48%","-1.01%","-0.51%","15.36%","29.71%","26.29%"
"American Public Education","APEI","-1.48%","-3.24%","-2.04%","72.85%","95.05%","77.68%"
"American States Water","AWR","-1.02%","-0.45%","1.26%","3.71%","18.34%","59.14%"
"American Vanguard","AVD","-0.93%","0.71%","-5.10%","8.91%","5.42%","86.25%"
"American Woodmark","AMWD","3.53%","5.36%","-5.00%","-33.59%","-10.73%","37.24%"
"Ameris","ABCB","-0.51%","-1.37%","-7.91%","1.45%","5.73%","73.16%"
"AMERISAFE","AMSF","-1.50%","-1.18%","9.26%","1.54%","8.50%","31.85%"
