"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"3M","MMM","0.74%","3.51%","0.76%","-12.23%","-0.16%","29.90%"
"Abbott Labs","ABT","0.14%","1.38%","4.47%","10.86%","33.79%","30.45%"
"AbbVie","ABBV","1.12%","2.43%","-2.35%","3.85%","44.15%","47.17%"
"Accenture","ACN","0.97%","2.06%","3.60%","5.93%","28.89%","68.02%"
"Activision Blizzard","ATVI","0.46%","1.73%","1.91%","17.32%","28.02%","191.33%"
"Acuity Brands","AYI","0.28%","2.74%","7.33%","-30.77%","-31.23%","-32.19%"
"Adobe","ADBE","1.49%","-0.04%","4.17%","43.35%","81.97%","215.75%"
"ADP","ADP","0.57%","1.97%","6.25%","15.50%","35.20%","60.81%"
"Advance Auto Parts","AAP","1.28%","2.63%","11.40%","32.12%","2.61%","-17.82%"
"Aetna","AET","0.60%","2.38%","5.99%","0.23%","20.71%","53.31%"
"Affiliated Managers","AMG","-0.07%","2.37%","0.21%","-19.59%","1.58%","-26.27%"
"Aflac","AFL","0.46%","1.08%","1.19%","4.56%","17.67%","-26.60%"
"Agilent Technologies","A","0.77%","4.70%","-4.55%","-1.85%","11.01%","62.22%"
"AIG","AIG","2.32%","3.43%","4.49%","-7.49%","-14.12%","-10.64%"
"Air Products","APD","0.47%","3.04%","1.76%","2.70%","15.54%","15.47%"
"Akamai","AKAM","0.26%","3.26%","2.78%","20.66%","63.06%","5.19%"
"Alaska Air","ALK","0.26%","2.42%","2.92%","-15.21%","-30.69%","2.58%"
"Albemarle","ALB","0.16%","1.18%","-3.07%","-25.43%","-17.36%","55.91%"
"Alexandria RE","ARE","0.67%","1.28%","-1.68%","-2.60%","7.22%","40.87%"
"Alexion","ALXN","-0.24%","-0.57%","1.89%","-1.05%","12.29%","-30.34%"
"Align","ALGN","2.17%","4.08%","24.82%","56.02%","132.90%","454.49%"
"Allegion PLC","ALLE","1.13%","4.15%","4.93%","1.96%","5.04%","31.65%"
"Allergan","AGN","4.34%","9.90%","12.14%","4.14%","-26.69%","-43.46%"
"Alliance Data Systems","ADS","0.82%","5.95%","7.60%","-12.27%","-7.86%","-25.80%"
"Alliant Energy","LNT","0.10%","-3.45%","-6.01%","-7.93%","-4.92%","35.18%"
"Allstate","ALL","0.55%","-0.16%","-2.49%","-10.51%","7.26%","40.05%"
"Alphabet A","GOOGL","-0.15%","-0.20%","2.46%","7.53%","16.76%","104.98%"
"Alphabet Inc C","GOOG","-0.27%","0.12%","2.12%","7.12%","18.01%","108.85%"
"Altria","MO","1.80%","3.57%","2.98%","-19.18%","-23.52%","17.25%"
"Amazon.com","AMZN","-0.31%","2.59%","4.66%","44.00%","72.13%","290.93%"
"AMD","AMD","2.42%","5.90%","25.72%","48.35%","24.19%","557.33%"
"Ameren","AEE","-0.37%","-2.44%","0.62%","-3.90%","0.71%","49.93%"
"American Airlines","AAL","-1.67%","-2.02%","2.55%","-17.14%","-14.24%","6.63%"
"American Electric Power","AEP","-0.06%","-3.85%","-4.34%","-12.86%","-10.78%","18.96%"
"American Express","AXP","-0.47%","2.80%","-0.37%","1.70%","25.76%","25.95%"
"American Tower","AMT","0.29%","0.04%","-0.94%","-2.87%","6.37%","49.49%"
"American Water Works","AWK","0.01%","-3.47%","-5.33%","-13.35%","0.03%","56.19%"
"Ameriprise Financial","AMP","0.39%","1.70%","5.25%","-15.84%","12.76%","9.83%"
"AmerisourceBergen","ABC","-0.59%","3.30%","0.65%","-6.24%","-6.53%","-20.84%"
"Ametek","AME","-0.04%","2.08%","1.42%","4.53%","21.43%","38.94%"
"Amgen","AMGN","0.55%","0.40%","7.92%","5.98%","12.34%","18.48%"
"Amphenol","APH","0.11%","2.87%","4.17%","3.54%","20.00%","58.41%"
"Anadarko Petroleum","APC","-0.35%","0.49%","4.40%","33.11%","48.81%","-15.61%"
"Analog Devices","ADI","-0.88%","2.70%","8.27%","13.51%","28.58%","49.23%"
"Andeavor","ANDV","-0.08%","-3.34%","2.85%","26.53%","57.64%","71.67%"
"ANSYS","ANSS","0.80%","3.88%","-0.05%","16.69%","38.32%","90.29%"
"Anthem Inc","ANTM","-0.56%","3.07%","1.17%","1.46%","22.14%","38.89%"
"AO Smith","AOS","1.71%","2.05%","1.19%","5.81%","15.70%","82.55%"
"Aon","AON","0.65%","2.06%","-0.88%","6.69%","7.79%","39.63%"
"Apache","APA","1.17%","8.39%","1.44%","0.05%","-12.62%","-28.36%"
"Apartment Invest","AIV","0.68%","1.58%","1.51%","-4.60%","-6.00%","12.89%"
"Apple","AAPL","-0.91%","0.77%","0.87%","13.28%","28.67%","48.74%"
"Applied Materials","AMAT","-0.20%","-2.09%","-7.89%","0.06%","14.33%","155.24%"
"Aptiv","APTV","0.15%","1.75%","4.94%","18.84%","40.46%","14.17%"
"Archer-Daniels-Midland","ADM","0.36%","2.35%","2.16%","11.90%","6.73%","-14.10%"
"Arconic Inc","ARNC","-0.06%","1.07%","-1.10%","-34.17%","-34.43%","-34.45%"
"Arthur J Gallagher","AJG","0.80%","2.34%","-2.14%","7.11%","17.10%","40.97%"
"Assurant","AIZ","0.81%","4.50%","12.25%","-2.53%","-3.33%","45.51%"
"AT&T","T","0.06%","4.19%","6.12%","-12.99%","-12.79%","-2.56%"
"Autodesk","ADSK","0.74%","1.21%","-0.98%","28.90%","27.54%","145.82%"
"AutoZone","AZO","1.44%","3.26%","2.41%","-5.20%","11.22%","-1.05%"
"AvalonBay","AVB","0.58%","0.42%","0.07%","-5.94%","-13.93%","4.02%"
