"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"3M","MMM","206.59","206.75","204.41","+1.52","+0.74%","2.17M","08/06"
"Abbott Labs","ABT","63.27","63.41","62.84","+0.09","+0.14%","4.67M","08/06"
"AbbVie","ABBV","100.430","100.500","99.000","+1.110","+1.12%","4.01M","08/06"
"Accenture","ACN","162.17","162.33","160.61","+1.56","+0.97%","1.73M","08/06"
"Activision Blizzard","ATVI","74.29","74.83","73.45","+0.34","+0.46%","4.67M","08/06"
"Acuity Brands","AYI","121.84","121.93","120.50","+0.34","+0.28%","608.79K","08/06"
"Adobe","ADBE","251.21","251.66","245.83","+3.70","+1.49%","2.88M","08/06"
"ADP","ADP","135.35","135.44","134.03","+0.77","+0.57%","1.24M","08/06"
"Advance Auto Parts","AAP","131.71","132.67","128.51","+1.66","+1.28%","863.78K","08/06"
"Aetna","AET","180.81","180.83","179.43","+1.07","+0.60%","2.22M","08/06"
"Affiliated Managers","AMG","165.05","165.10","163.58","-0.12","-0.07%","488.67K","08/06"
"Aflac","AFL","45.89","45.91","45.57","+0.21","+0.46%","2.29M","08/06"
"Agilent Technologies","A","65.73","66.37","65.15","+0.50","+0.77%","3.85M","08/06"
"AIG","AIG","55.12","55.20","53.83","+1.25","+2.32%","6.96M","08/06"
"Air Products","APD","168.51","168.66","166.58","+0.79","+0.47%","764.13K","08/06"
"Akamai","AKAM","78.48","78.58","77.28","+0.20","+0.26%","2.52M","08/06"
"Alaska Air","ALK","62.33","62.55","61.55","+0.16","+0.26%","1.44M","08/06"
"Albemarle","ALB","95.37","95.80","94.64","+0.15","+0.16%","1.04M","08/06"
"Alexandria RE","ARE","127.19","127.52","125.69","+0.85","+0.67%","598.44K","08/06"
"Alexion","ALXN","118.33","118.87","116.47","-0.28","-0.24%","1.01M","08/06"
"Align","ALGN","346.67","347.44","333.00","+7.35","+2.17%","774.36K","08/06"
"Allegion PLC","ALLE","81.12","81.14","80.06","+0.91","+1.13%","884.92K","08/06"
"Allergan","AGN","170.35","170.80","162.20","+7.08","+4.34%","5.29M","08/06"
